title,desc,year,month,day
Coming of Age,"awarded to Active Players on Agora's 18th Birthday, July 2011",2011,7,
Agora XX,"awarded to players of the Agora 20th Anniversary blitz Nomic game, July 2013 ",2013,7,
Order of the Lemming,"Persons who cast valid votes of FOR or PRESENT on at least one of P7610, P7614, or P7616 ",2014,1,
Badge of the Great Agoran Revival,awarded to Agoran persons from May 2017,2017,5,
Badge of the Salted Earth,awarded to Agoran persons who owned land in Agora in 2018,2018,,
Badge of Diplonomic,"awarded to persons who played or otherwise 2020 Birthday Tournament, Diplonomic participated in the",2020,,
